21 21 21
7 7 1 0.0079925
7 7 2 0.0078729
7 7 3 0.0076853
7 7 4 0.0074445
7 7 5 0.0071664
7 7 6 0.0068661
7 7 7 0.0065560
7 7 8 0.0062459
7 7 9 0.0059428
7 7 10 0.0056513
7 8 0 0.0074824
7 8 1 0.0074492
7 8 2 0.0073521
7 8 3 0.0071988
7 8 4 0.0069998
7 8 5 0.0067671
7 8 6 0.0065124
7 8 7 0.0062459
7 8 8 0.0059759
7 8 9 0.0057087
7 8 10 0.0054488
7 9 0 0.0069772
7 9 1 0.0069502
7 9 2 0.0068713
7 9 3 0.0067457
7 9 4 0.0065811
7 9 5 0.0063866
7 9 6 0.0061711
7 9 7 0.0059428
7 9 8 0.0057087
7 9 9 0.0054742
7 9 10 0.0052437
7 10 0 0.0065182
7 10 1 0.0064962
7 10 2 0.0064316
7 10 3 0.0063283
7 10 4 0.0061919
7 10 5 0.0060290
7 10 6 0.0058467
7 10 7 0.0056513
7 10 8 0.0054488
7 10 9 0.0052437
7 10 10 0.0050400
8 0 0 0.0099880
8 0 1 0.0099069
8 0 2 0.0096764
8 0 3 0.0093285
8 0 4 0.0089026
8 0 5 0.0084351
8 0 6 0.0079549
8 0 7 0.0074824
8 0 8 0.0070304
8 0 9 0.0066060
8 0 10 0.0062122
8 1 0 0.0099069
8 1 1 0.0098279
8 1 2 0.0096031
8 1 3 0.0092633
8 1 4 0.0088462
8 1 5 0.0083872
8 1 6 0.0079149
8 1 7 0.0074492
8 1 8 0.0070029
8 1 9 0.0065831
8 1 10 0.0061932
8 2 0 0.0096764
8 2 1 0.0096031
8 2 2 0.0093941
8 2 3 0.0090762
8 2 4 0.0086836
8 2 5 0.0082488
8 2 6 0.0077986
8 2 7 0.0073521
8 2 8 0.0069222
8 2 9 0.0065160
8 2 10 0.0061373
8 3 0 0.0093285
8 3 1 0.0092633
8 3 2 0.0090762
8 3 3 0.0087896
8 3 4 0.0084325
8 3 5 0.0080332
8 3 6 0.0076160
8 3 7 0.0071988
8 3 8 0.0067939
8 3 9 0.0064087
8 3 10 0.0060474
8 4 0 0.0089026
8 4 1 0.0088462
8 4 2 0.0086836
8 4 3 0.0084325
8 4 4 0.0081163
8 4 5 0.0077589
8 4 6 0.0073813
8 4 7 0.0069998
8 4 8 0.0066259
8 4 9 0.0062672
8 4 10 0.0059281
8 5 0 0.0084351
8 5 1 0.0083872
8 5 2 0.0082488
8 5 3 0.0080332
8 5 4 0.0077589
8 5 5 0.0074453
8 5 6 0.0071099
8 5 7 0.0067671
8 5 8 0.0064276
8 5 9 0.0060986
8 5 10 0.0057848
8 6 0 0.0079549
8 6 1 0.0079149
8 6 2 0.0077986
8 6 3 0.0076160
8 6 4 0.0073813
8 6 5 0.0071099
8 6 6 0.0068162
8 6 7 0.0065124
8 6 8 0.0062081
8 6 9 0.0059101
8 6 10 0.0056232
8 7 0 0.0074824
8 7 1 0.0074492
8 7 2 0.0073521
8 7 3 0.0071988
8 7 4 0.0069998
8 7 5 0.0067671
8 7 6 0.0065124
8 7 7 0.0062459
8 7 8 0.0059759
8 7 9 0.0057087
8 7 10 0.0054488
8 8 0 0.0070304
8 8 1 0.0070029
8 8 2 0.0069222
8 8 3 0.0067939
8 8 4 0.0066259
8 8 5 0.0064276
8 8 6 0.0062081
8 8 7 0.0059759
8 8 8 0.0057380
8 8 9 0.0055002
8 8 10 0.0052665
8 9 0 0.0066060
8 9 1 0.0065831
8 9 2 0.0065160
8 9 3 0.0064087
8 9 4 0.0062672
8 9 5 0.0060986
8 9 6 0.0059101
8 9 7 0.0057087
8 9 8 0.0055002
8 9 9 0.0052896
8 9 10 0.0050807
8 10 0 0.0062122
8 10 1 0.0061932
